"","x"
"560",450
"561",2735
"562",2362
"563",1796
"564",2284
"565",1869
"566",604
"567",623
"568",3313
"569",2790
"570",2474
"571",3105
"572",2459
"573",612
"574",474
"575",2610
"576",2299
"577",1896
"578",2038
"579",1554
"580",650
"581",381
"582",2721
"583",2210
"584",1792
"585",2212
"586",1633
"587",639
"588",406
"589",2718
"590",2005
"591",1916
"592",2169
"593",1791
"594",644
"595",462
"596",2394
"597",2001
"598",1981
"599",1654
"600",1353
"601",466
"602",283
"603",2036
"604",1621
"605",1268
"606",1408
"607",1534
"608",596
"609",373
"610",2243
"611",1936
"612",2198
"613",2258
"614",1774
"615",559
"616",454
"617",2795
"618",1949
"619",2495
"620",2715
"621",2138
"622",948
"623",628
"624",3466
"625",1854
"626",2059
"627",2288
"628",1834
"629",653
"630",391
"631",2360
"632",2381
"633",1613
"634",2287
"635",1877
"636",673
"637",456
"638",2446
"639",2088
"640",1753
"641",2297
"642",1543
"643",676
"644",435
"645",2804
"646",2222
"647",1839
"648",2073
"649",1581
"650",649
"651",329
"652",2058
"653",1579
"654",1208
"655",1848
"656",1295
"657",465
"658",293
"659",2406
"660",2300
"661",1601
"662",1942
"663",1645
"664",730
"665",426
"666",2978
"667",1934
"668",2010
"669",2326
"670",1685
"671",889
"672",566
"673",3376
"674",3080
"675",2522
"676",2874
"677",1570
"678",679
"679",483
"680",2729
"681",2191
"682",1663
"683",2195
"684",1821
"685",580
"686",431
"687",2871
"688",2217
"689",2105
"690",1923
"691",1730
"692",591
"693",409
"694",2295
"695",2383
"696",1778
"697",2247
"698",1758
"699",701
"700",436
"701",2375
"702",2292
"703",1400
"704",1710
"705",1212
"706",436
"707",369
"708",1821
"709",1510
"710",1303
"711",1995
"712",1847
"713",574
"714",383
"715",2501
"716",2397
"717",1930
"718",2232
"719",1617
"720",704
"721",444
"722",2505
"723",2810
"724",2338
"725",2853
"726",2406
"727",966
"728",592
"729",2400
"730",2352
"731",1813
"732",2284
"733",1815
"734",613
"735",438
"736",2700
"737",1869
"738",1954
"739",2370
"740",1842
"741",655
"742",418
"743",2632
"744",2045
"745",1966
"746",2004
"747",1977
"748",668
"749",455
"750",2817
"751",2212
"752",1832
"753",2172
"754",1710
"755",500
"756",340
"757",1926
"758",1486
"759",1582
"760",1720
"761",1261
"762",455
"763",361
"764",2667
"765",2033
"766",1681
"767",2058
"768",1948
"769",746
"770",424
"771",2389
"772",2309
"773",1917
"774",2035
"775",2359
"776",776
"777",609
"778",3804
"779",3168
"780",2572
"781",1969
"782",1896
"783",664
"784",461
"785",2621
"786",2184
"787",1755
"788",2338
"789",1640
"790",698
"791",471
"792",2752
"793",2417
"794",1771
"795",2061
"796",1619
"797",696
"798",369
"799",2875
"800",2224
"801",1951
"802",2213
"803",1827
"804",639
"805",468
"806",2718
"807",1652
"808",1480
"809",1658
"810",1090
"811",534
"812",307
"813",1879
"814",1589
"815",1664
"816",2328
"817",1693
"818",549
"819",396
"820",2958
"821",2354
"822",2025
"823",1954
"824",1830
"825",702
"826",389
"827",3550
"828",2730
"829",2509
"830",3183
"831",2484
"832",893
"833",405
"834",2730
"835",2489
"836",1944
"837",2385
"838",1730
"839",595
"840",466
"841",2297
"842",2361
"843",1993
"844",2278
"845",1909
"846",654
"847",391
"848",2495
"849",2338
"850",1773
"851",2216
"852",1819
"853",752
"854",457
"855",2935
"856",2103
"857",1768
"858",2441
"859",1386
"860",541
"861",333
"862",1771
"863",1954
"864",1451
"865",1558
"866",1238
"867",577
"868",461
"869",2455
"870",2088
"871",1759
"872",2399
"873",1934
"874",718
"875",405
"876",2973
"877",2441
"878",1807
"879",3149
"880",2222
"881",849
"882",628
"883",3950
"884",3215
"885",1787
"886",2305
"887",1825
"888",747
"889",494
"890",2761
"891",2028
"892",1899
"893",2031
"894",1885
"895",734
"896",450
"897",3031
"898",2040
"899",1825
"900",2110
"901",1971
"902",640
"903",472
"904",2732
"905",2439
"906",1920
"907",2270
"908",1778
"909",629
"910",469
"911",2072
"912",1748
"913",1426
"914",1506
"915",1512
"916",500
"917",332
"918",1752
"919",2026
"920",1937
"921",2059
"922",1674
"923",653
"924",483
"925",2876
"926",2340
"927",1813
"928",2477
"929",2039
"930",641
"931",619
"932",3569
"933",3024
"934",2695
"935",3150
"936",2548
"937",620
"938",501
"939",3013
"940",2425
"941",1904
"942",2225
"943",1663
"944",724
"945",426
"946",2918
"947",2425
"948",1889
"949",2482
"950",1789
"951",661
"952",435
"953",2853
"954",2077
"955",2154
"956",2220
"957",2005
"958",687
"959",441
"960",2589
"961",2180
"962",1986
"963",1784
"964",1348
"965",513
"966",271
"967",2243
"968",1708
"969",1374
"970",1666
"971",1647
"972",762
"973",417
"974",2387
"975",2127
"976",2052
"977",2298
"978",1984
"979",612
"980",475
"981",2959
"982",2177
"983",2715
"984",2931
"985",2332
"986",976
"987",658
"988",3646
"989",2047
"990",1999
"991",2557
"992",1877
"993",693
"994",441
"995",2478
"996",2448
"997",1759
"998",2451
"999",2021
"1000",686
"1001",525
"1002",2691
"1003",2233
"1004",1925
"1005",2471
"1006",1695
"1007",726
"1008",488
"1009",2864
"1010",2355
"1011",2151
"1012",2287
"1013",1779
"1014",732
"1015",352
"1016",2107
"1017",1740
"1018",1301
"1019",1826
"1020",1306
"1021",490
"1022",322
"1023",2563
"1024",2401
"1025",1785
"1026",2073
"1027",1790
"1028",766
"1029",468
"1030",2858
"1031",2140
"1032",2059
"1033",2598
"1034",1681
"1035",930
"1036",618
"1037",3550
"1038",3270
"1039",2748
"1040",3233
"1041",1744
"1042",696
"1043",526
"1044",3014
"1045",2367
"1046",1956
"1047",2120
"1048",1931
"1049",643
"1050",525
"1051",3208
"1052",2337
"1053",2090
"1054",2127
"1055",1851
"1056",648
"1057",488
"1058",2637
"1059",2552
"1060",1826
"1061",2467
"1062",1961
"1063",738
"1064",423
"1065",2554
"1066",2440
"1067",1526
"1068",1808
"1069",1432
"1070",467
"1071",388
"1072",2146
"1073",1506
"1074",1377
"1075",2150
"1076",2054
"1077",577
"1078",437
"1079",2623
"1080",2524
"1081",2186
"1082",2540
"1083",1718
"1084",745
"1085",473
"1086",2760
"1087",2932
"1088",2430
"1089",2915
"1090",2599
"1091",1083
"1092",640
"1093",2628
"1094",2521
"1095",2054
"1096",2495
"1097",1872
"1098",731
"1099",436
"1100",2838
"1101",2052
"1102",2133
"1103",2610
"1104",1859
"1105",761
"1106",465
"1107",2821
"1108",2208
"1109",2298
"1110",2274
"1111",1940
"1112",703
"1113",553
"1114",2901
"1115",2468
"1116",1973
"1117",2181
"1118",1844
"1119",570
"1120",339
"1121",2090
"1122",1570
"1123",1745
"1124",1805
"1125",1332
"1126",483
"1127",401
"1128",2969
"1129",2255
"1130",1992
"1131",2324
"1132",2000
"1133",698
"1134",546
"1135",2575
"1136",2700
"1137",2199
"1138",2323
"1139",2648
"1140",967
"1141",601
"1142",3915
"1143",3391
"1144",2752
"1145",2336
"1146",2017
"1147",785
"1148",593
"1149",2925
"1150",2306
"1151",1864
"1152",2425
"1153",1718
"1154",819
"1155",554
"1156",2978
"1157",2656
"1158",1996
"1159",2367
"1160",1765
"1161",788
"1162",426
"1163",3159
"1164",2575
"1165",2181
"1166",2488
"1167",1929
"1168",750
"1169",448
"1170",2962
"1171",1839
"1172",1448
"1173",1831
"1174",1239
"1175",647
"1176",394
"1177",2064
"1178",1734
"1179",1924
"1180",2499
"1181",1711
"1182",693
"1183",437
"1184",3373
"1185",2600
"1186",2153
"1187",2268
"1188",2079
"1189",783
"1190",464
"1191",4095
"1192",3190
"1193",2587
"1194",3430
"1195",2848
"1196",974
"1197",449
"1198",3112
"1199",2672
"1200",2267
"1201",2527
"1202",1819
"1203",668
"1204",489
"1205",2750
"1206",2550
"1207",2295
"1208",2671
"1209",2060
"1210",696
"1211",465
"1212",2810
"1213",2761
"1214",2010
"1215",2768
"1216",1960
"1217",772
"1218",537
"1219",3142
"1220",2550
"1221",1940
"1222",2539
"1223",1473
"1224",509
"1225",353
"1226",2020
"1227",1922
"1228",1442
"1229",1851
"1230",1380
"1231",688
"1232",510
"1233",2571
"1234",2404
"1235",1959
"1236",2771
"1237",2076
"1238",832
"1239",486
"1240",3168
"1241",2732
"1242",2006
"1243",3415
"1244",2652
"1245",1012
"1246",723
"1247",4202
"1248",3353
"1249",2026
"1250",2700
"1251",2173
"1252",805
"1253",569
"1254",2997
"1255",2312
"1256",2270
"1257",2379
"1258",2159
"1259",815
"1260",503
"1261",3175
"1262",2424
"1263",2074
"1264",2314
"1265",2157
"1266",773
"1267",523
"1268",3109
"1269",2879
"1270",2168
"1271",2806
"1272",2003
"1273",729
"1274",495
"1275",2278
"1276",2012
"1277",1627
"1278",1737
"1279",1837
"1280",582
"1281",380
"1282",2245
"1283",2335
"1284",2364
"1285",2203
"1286",1877
"1287",706
"1288",581
"1289",3262
"1290",2834
"1291",1996
"1292",2728
"1293",2190
"1294",771
"1295",695
"1296",4085
"1297",3389
"1298",3009
"1299",3643
"1300",3014
"1301",774
"1302",571
"1303",3296
"1304",2783
"1305",2320
"1306",2563
"1307",1841
"1308",807
"1309",482
"1310",3382
"1311",2821
"1312",2285
"1313",2900
"1314",1996
"1315",789
"1316",501
"1317",3264
"1318",2540
"1319",2455
"1320",2750
"1321",2126
"1322",831
"1323",591
"1324",3173
"1325",2624
"1326",2375
"1327",1985
"1328",1621
"1329",622
"1330",389
"1331",2672
"1332",1901
"1333",1680
"1334",1817
"1335",1913
"1336",833
"1337",438
"1338",2974
"1339",2496
"1340",2508
"1341",2745
"1342",2249
"1343",706
"1344",609
"1345",3422
"1346",2610
"1347",3151
"1348",3525
"1349",2890
"1350",1162
"1351",734
"1352",4364
"1353",2476
"1354",2423
"1355",2829
"1356",2427
"1357",826
"1358",516
"1359",3023
"1360",2953
"1361",2103
"1362",2917
"1363",2396
"1364",852
"1365",593
"1366",3162
"1367",2772
"1368",2156
"1369",2778
"1370",1937
"1371",846
"1372",541
"1373",3602
"1374",2665
"1375",2602
"1376",2589
"1377",2010
"1378",862
"1379",413
"1380",2582
"1381",2131
"1382",1517
"1383",2344
"1384",1608
"1385",577
"1386",386
"1387",2937
"1388",2982
"1389",2103
"1390",2542
"1391",2141
"1392",954
"1393",592
"1394",3705
"1395",2543
"1396",2594
"1397",2863
"1398",2221
"1399",1149
"1400",664
"1401",4448
"1402",3896
"1403",3555
"1404",3932
"1405",2057
"1406",864
"1407",592
"1408",3668
"1409",2795
"1410",2592
"1411",2763
"1412",2342
"1413",753
"1414",616
"1415",3675
"1416",2861
"1417",2594
"1418",2789
"1419",2238
"1420",728
"1421",611
"1422",3272
"1423",3139
"1424",2371
"1425",3147
"1426",2296
"1427",905
"1428",556
"1429",3245
"1430",2901
"1431",1733
"1432",2323
"1433",1763
"1434",588
"1435",453
"1436",2687
"1437",2088
"1438",1754
"1439",2532
"1440",2324
"1441",780
"1442",519
"1443",3300
"1444",3181
"1445",2564
"1446",3138
"1447",2159
"1448",957
"1449",601
"1450",3394
"1451",4038
"1452",3167
"1453",3796
"1454",3291
"1455",1278
"1456",840
